base_items,add_items,support,confidence,lift
The Hollow,"The Alchemist, The Art of War",0.01737220447284345,0.2121951219512195,2.5122297180418616
"The 7 Habits of Highly Effective People, Think and Grow Rich",Beyond Good and Evil,0.01697284345047923,0.39906103286384975,6.092980648116339
"Beyond Good and Evil, Think and Grow Rich",The 7 Habits of Highly Effective People,0.01697284345047923,0.7083333333333334,6.982939632545931
"Beyond Good and Evil, The 7 Habits of Highly Effective People",Think and Grow Rich,0.01697284345047923,0.7522123893805309,6.824419648582788
Beyond Good and Evil,"The 7 Habits of Highly Effective People, Think and Grow Rich",0.01697284345047923,0.25914634146341464,6.092980648116339
Who Moved My Cheese?,The Alchemist,0.016773162939297124,0.3652173913043478,1.8836340840908072
"The Hollow, The Mysterious Mr. Quin",Death in the Clouds,0.016773162939297124,0.5185185185185185,11.966547192353644
"Death in the Clouds, The Mysterious Mr. Quin",The Hollow,0.016773162939297124,0.9230769230769231,11.275046904315197
"Death in the Clouds, The Hollow",The Mysterious Mr. Quin,0.016773162939297124,0.5957446808510638,11.699958281184815
The Mysterious Mr. Quin,"Death in the Clouds, The Hollow",0.016773162939297124,0.32941176470588235,11.699958281184815
The Hollow,"Death in the Clouds, The Mysterious Mr. Quin",0.016773162939297124,0.2048780487804878,11.275046904315197
Death in the Clouds,"The Hollow, The Mysterious Mr. Quin",0.016773162939297124,0.3870967741935484,11.966547192353644
Outlander,A Clash of Kings,0.016174121405750797,0.42857142857142855,13.936920222634507
A Clash of Kings,Outlander,0.016174121405750797,0.525974025974026,13.936920222634507
Harry Potter and the Half-Blood Prince (Book 6),Harry Potter and the Chamber of Secrets (Book 2),0.016174121405750797,0.34913793103448276,4.77727529677784
Harry Potter and the Chamber of Secrets (Book 2),Harry Potter and the Half-Blood Prince (Book 6),0.016174121405750797,0.22131147540983606,4.77727529677784
The Princess Bride,Outlander,0.016174121405750797,0.3446808510638298,9.133130699088145
Outlander,The Princess Bride,0.016174121405750797,0.42857142857142855,9.133130699088145
The Canterbury Tales,The Republic,0.016174121405750797,0.3375,3.8326530612244896
"The 7 Habits of Highly Effective People, The Alchemist",Beyond Good and Evil,0.01597444089456869,0.28776978417266186,4.393753290050886
"Beyond Good and Evil, The Alchemist",The 7 Habits of Highly Effective People,0.01597444089456869,0.5755395683453237,5.673823146207443
"Beyond Good and Evil, The 7 Habits of Highly Effective People",The Alchemist,0.01597444089456869,0.7079646017699115,3.651376648469327
Beyond Good and Evil,"The 7 Habits of Highly Effective People, The Alchemist",0.01597444089456869,0.24390243902439024,4.393753290050886
"The Big Four, The Hollow",Death in the Clouds,0.01597444089456869,0.625,14.423963133640553
"Death in the Clouds, The Hollow",The Big Four,0.01597444089456869,0.5673758865248227,11.013249766342295
"Death in the Clouds, The Big Four",The Hollow,0.01597444089456869,0.6504065040650406,7.944477493555423
The Big Four,"Death in the Clouds, The Hollow",0.01597444089456869,0.31007751937984496,11.013249766342295
Death in the Clouds,"The Big Four, The Hollow",0.01597444089456869,0.3686635944700461,14.423963133640553
"The Art of War, The Lord of the Rings",The Alchemist,0.01597444089456869,0.5925925925925926,3.0563374909409924
"The Alchemist, The Lord of the Rings",The Art of War,0.01597444089456869,0.5797101449275363,3.8452826566849025
The Lord of the Rings,"The Alchemist, The Art of War",0.01597444089456869,0.20460358056265984,2.4223516110113485
Water for Elephants,Hamlet,0.01577476038338658,0.2415902140672783,4.157676261336528
Hamlet,Water for Elephants,0.01577476038338658,0.27147766323024053,4.157676261336528
The Art of Loving,The Republic,0.015175718849840255,0.22686567164179106,2.576288624902697
The Merchant of Venice,The Art of War,0.015175718849840255,0.3781094527363184,2.508042568613884
"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Chamber of Secrets (Book 2),0.015175718849840255,0.7169811320754716,9.810495927415197
"Harry Potter and the Chamber of Secrets (Book 2), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Half-Blood Prince (Book 6),0.015175718849840255,0.27636363636363637,5.96564263322884
"Harry Potter and the Chamber of Secrets (Book 2), Harry Potter and the Half-Blood Prince (Book 6)",Harry Potter and the Sorcerer's Stone (Book 1),0.015175718849840255,0.9382716049382716,7.6653575816164174
Harry Potter and the Half-Blood Prince (Book 6),"Harry Potter and the Chamber of Secrets (Book 2), Harry Potter and the Sorcerer's Stone (Book 1)",0.015175718849840255,0.3275862068965517,5.96564263322884
Harry Potter and the Chamber of Secrets (Book 2),"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Sorcerer's Stone (Book 1)",0.015175718849840255,0.20765027322404372,9.810495927415197
"Harry Potter and the Sorcerer's Stone (Book 1), The Alchemist",Harry Potter and the Prisoner of Azkaban (Book 3),0.015175718849840255,0.28044280442804426,4.155199895194218
"Harry Potter and the Prisoner of Azkaban (Book 3), The Alchemist",Harry Potter and the Sorcerer's Stone (Book 1),0.015175718849840255,0.7450980392156863,6.087195726577744
"Harry Potter and the Prisoner of Azkaban (Book 3), Harry Potter and the Sorcerer's Stone (Book 1)",The Alchemist,0.015175718849840255,0.3114754098360656,1.6064560787425504
Harry Potter and the Prisoner of Azkaban (Book 3),"Harry Potter and the Sorcerer's Stone (Book 1), The Alchemist",0.015175718849840255,0.22485207100591717,4.155199895194218
Harry Potter and the Chamber of Secrets (Book 2),The Alchemist,0.014976038338658147,0.20491803278688525,1.0568789991727305
Who Moved My Cheese?,The Art of War,0.014976038338658147,0.32608695652173914,2.162971494385258
Who Moved My Cheese?,Hamlet,0.014776357827476038,0.3217391304347826,5.537008815180038
Hamlet,Who Moved My Cheese?,0.014776357827476038,0.2542955326460481,5.537008815180038
Harry Potter and the Order of the Phoenix (Book 5),Harry Potter and the Chamber of Secrets (Book 2),0.01457667731629393,0.27340823970037453,3.7410613781952886
Harry Potter and the Prisoner of Azkaban (Book 3),The Art of War,0.01457667731629393,0.21597633136094674,1.4325953211332731
Jane Eyre,The Republic,0.01457667731629393,0.20977011494252873,2.3821513279641358
The Screwtape Letters,The Alchemist,0.01457667731629393,0.2765151515151515,1.4261461161564148
"Harry Potter and the Order of the Phoenix (Book 5), Harry Potter and the Prisoner of Azkaban (Book 3)",Harry Potter and the Half-Blood Prince (Book 6),0.01457667731629393,0.7019230769230769,15.15185676392573
"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Prisoner of Azkaban (Book 3)",Harry Potter and the Order of the Phoenix (Book 5),0.01457667731629393,0.776595744680851,14.566260259781657
"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Order of the Phoenix (Book 5)",Harry Potter and the Prisoner of Azkaban (Book 3),0.01457667731629393,0.5251798561151079,7.781363075220297
Harry Potter and the Prisoner of Azkaban (Book 3),"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Order of the Phoenix (Book 5)",0.01457667731629393,0.21597633136094674,7.781363075220297
Harry Potter and the Order of the Phoenix (Book 5),"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Prisoner of Azkaban (Book 3)",0.01457667731629393,0.27340823970037453,14.566260259781657
Harry Potter and the Half-Blood Prince (Book 6),"Harry Potter and the Order of the Phoenix (Book 5), Harry Potter and the Prisoner of Azkaban (Book 3)",0.01457667731629393,0.3146551724137931,15.15185676392573
"The Art of War, Water for Elephants",The Alchemist,0.01437699680511182,0.5106382978723404,2.6336525187895785
"The Alchemist, Water for Elephants",The Art of War,0.01437699680511182,0.5217391304347826,3.4607543910164122
Water for Elephants,"The Alchemist, The Art of War",0.01437699680511182,0.22018348623853212,2.6068059079966166
The Art of Loving,Marked,0.014177316293929713,0.21194029850746268,7.220387856635192
Marked,The Art of Loving,0.014177316293929713,0.48299319727891155,7.220387856635192
"The 7 Habits of Highly Effective People, The Alchemist",Harry Potter and the Sorcerer's Stone (Book 1),0.014177316293929713,0.25539568345323743,2.086495241001326
"Harry Potter and the Sorcerer's Stone (Book 1), The Alchemist",The 7 Habits of Highly Effective People,0.014177316293929713,0.26199261992619927,2.582793386988988
"Harry Potter and the Sorcerer's Stone (Book 1), The 7 Habits of Highly Effective People",The Alchemist,0.014177316293929713,0.7717391304347826,3.9802982134061704
The Truth,Everyday Italian,0.013977635782747603,0.28688524590163933,6.219572776949826
Everyday Italian,The Truth,0.013977635782747603,0.30303030303030304,6.219572776949826
"Harry Potter and the Prisoner of Azkaban (Book 3), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Half-Blood Prince (Book 6),0.013977635782747603,0.28688524590163933,6.192764273600905
"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Sorcerer's Stone (Book 1)",Harry Potter and the Prisoner of Azkaban (Book 3),0.013977635782747603,0.660377358490566,9.784526068996316
"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Prisoner of Azkaban (Book 3)",Harry Potter and the Sorcerer's Stone (Book 1),0.013977635782747603,0.7446808510638298,6.083787442296345
Harry Potter and the Prisoner of Azkaban (Book 3),"Harry Potter and the Half-Blood Prince (Book 6), Harry Potter and the Sorcerer's Stone (Book 1)",0.013977635782747603,0.20710059171597633,9.784526068996316
Harry Potter and the Half-Blood Prince (Book 6),"Harry Potter and the Prisoner of Azkaban (Book 3), Harry Potter and the Sorcerer's Stone (Book 1)",0.013977635782747603,0.3017241379310345,6.192764273600905
The Giver,Charlotte's Web (full color),0.013777955271565496,0.3039647577092511,10.571218795888399
Charlotte's Web (full color),The Giver,0.013777955271565496,0.4791666666666667,10.571218795888399
Hamlet,The Republic,0.013777955271565496,0.23711340206185566,2.692661944502887
"The Art of War, The Republic",Harry Potter and the Sorcerer's Stone (Book 1),0.013777955271565496,0.32547169811320753,2.6589922743082273
"Harry Potter and the Sorcerer's Stone (Book 1), The Republic",The Art of War,0.013777955271565496,0.8023255813953488,5.3219159094409365
"Harry Potter and the Sorcerer's Stone (Book 1), The Art of War",The Republic,0.013777955271565496,0.375,4.258503401360544
"The Art of Loving, The Republic",The Alchemist,0.013777955271565496,0.9078947368421053,4.682530218440024
"The Alchemist, The Republic",The Art of Loving,0.013777955271565496,0.3194444444444444,4.775456053067994
"The Alchemist, The Art of Loving",The Republic,0.013777955271565496,0.45695364238410596,5.189169707618147
The Art of Loving,"The Alchemist, The Republic",0.013777955271565496,0.20597014925373133,4.775456053067994
The Big Four,The Art of Loving,0.013578274760383386,0.26356589147286824,3.940113386555594
The Art of Loving,The Big Four,0.013578274760383386,0.20298507462686566,3.940113386555594
"The Alchemist, Who Moved My Cheese?",The 7 Habits of Highly Effective People,0.013578274760383386,0.8095238095238095,7.980502437195351
"The 7 Habits of Highly Effective People, Who Moved My Cheese?",The Alchemist,0.013578274760383386,0.4594594594594595,2.369694101928911
"The 7 Habits of Highly Effective People, The Alchemist",Who Moved My Cheese?,0.013578274760383386,0.2446043165467626,5.32599311854864
Who Moved My Cheese?,"The 7 Habits of Highly Effective People, The Alchemist",0.013578274760383386,0.2956521739130435,5.32599311854864
The Merchant of Venice,Julius Caesar,0.013378594249201278,0.3333333333333333,14.146892655367232
Julius Caesar,The Merchant of Venice,0.013378594249201278,0.5677966101694916,14.146892655367232
"Hamlet, The Art of War",The Alchemist,0.013378594249201278,0.5726495726495726,2.9534799792266324
"Hamlet, The Alchemist",The Art of War,0.013378594249201278,0.5114503816793893,3.392507962185936
Hamlet,"The Alchemist, The Art of War",0.013378594249201278,0.23024054982817868,2.725873932717539
A Short History of Nearly Everything,The 7 Habits of Highly Effective People,0.013178913738019169,0.33,3.253228346456693
I Like You,Everyday Italian,0.013178913738019169,0.559322033898305,12.125907990314769
Everyday Italian,I Like You,0.013178913738019169,0.2857142857142857,12.125907990314769
Sideways Stories from Wayside School,Think and Grow Rich,0.013178913738019169,0.3793103448275862,3.44127936031984
The Canterbury Tales,The Alchemist,0.013178913738019169,0.275,1.4183316168898041
"The Alchemist, The Republic",Harry Potter and the Sorcerer's Stone (Book 1),0.013178913738019169,0.3055555555555556,2.496284212434294
"Harry Potter and the Sorcerer's Stone (Book 1), The Republic",The Alchemist,0.013178913738019169,0.7674418604651163,3.9581347448087563
"Harry Potter and the Sorcerer's Stone (Book 1), The Alchemist",The Republic,0.013178913738019169,0.24354243542435425,2.7656701056806487
"The 7 Habits of Highly Effective People, The Alchemist, Think and Grow Rich",Beyond Good and Evil,0.013178913738019169,0.4714285714285714,7.197909407665505
"Beyond Good and Evil, The Alchemist, Think and Grow Rich",The 7 Habits of Highly Effective People,0.013178913738019169,0.7415730337078652,7.31062549765549
"Beyond Good and Evil, The 7 Habits of Highly Effective People, Think and Grow Rich",The Alchemist,0.013178913738019169,0.7764705882352941,4.004701035924153
"Beyond Good and Evil, The 7 Habits of Highly Effective People, The Alchemist",Think and Grow Rich,0.013178913738019169,0.825,7.484782608695652
"The Alchemist, Think and Grow Rich","Beyond Good and Evil, The 7 Habits of Highly Effective People",0.013178913738019169,0.21153846153846154,9.375085091899251
"The 7 Habits of Highly Effective People, Think and Grow Rich","Beyond Good and Evil, The Alchemist",0.013178913738019169,0.30985915492957744,11.16384638767859
"The 7 Habits of Highly Effective People, The Alchemist","Beyond Good and Evil, Think and Grow Rich",0.013178913738019169,0.23741007194244604,9.907913669064747
"Beyond Good and Evil, Think and Grow Rich","The 7 Habits of Highly Effective People, The Alchemist",0.013178913738019169,0.55,9.907913669064747
"Beyond Good and Evil, The Alchemist","The 7 Habits of Highly Effective People, Think and Grow Rich",0.013178913738019169,0.4748201438848921,11.16384638767859
"Beyond Good and Evil, The 7 Habits of Highly Effective People","The Alchemist, Think and Grow Rich",0.013178913738019169,0.584070796460177,9.375085091899251
Beyond Good and Evil,"The 7 Habits of Highly Effective People, The Alchemist, Think and Grow Rich",0.013178913738019169,0.20121951219512196,7.197909407665505
The Red Badge of Courage,Sideways Stories from Wayside School,0.012979233226837061,0.4140127388535032,11.915952851599677
Sideways Stories from Wayside School,The Red Badge of Courage,0.012979233226837061,0.3735632183908046,11.915952851599677
